Continent,Country,Province,Day,Total.Detected,Active,Active.Hospitalized,Cumulative.Hospitalized,Total.Detected.Deaths,Active.Ventilated,date
North America,US,New York,2020-06-21,377976,11078,3552,56696,30609,332,2020-06-21
North America,US,New York,2020-06-22,378074,10501,3405,56711,30620,313,2020-06-22
North America,US,New York,2020-06-23,378164,9951,3263,56725,30629,295,2020-06-23
North America,US,New York,2020-06-24,378247,9429,3127,56737,30637,278,2020-06-24
North America,US,New York,2020-06-25,378322,8932,2995,56748,30645,262,2020-06-25
North America,US,New York,2020-06-26,378391,8460,2869,56759,30652,247,2020-06-26
North America,US,New York,2020-06-27,378454,8011,2748,56768,30659,232,2020-06-27
North America,US,New York,2020-06-28,378511,7585,2632,56777,30665,219,2020-06-28
North America,US,New York,2020-06-29,378563,7181,2520,56784,30670,206,2020-06-29
North America,US,New York,2020-06-30,378611,6797,2412,56792,30675,193,2020-06-30
North America,US,New York,2020-07-01,378654,6433,2309,56798,30680,182,2020-07-01
North America,US,New York,2020-07-02,378694,6087,2210,56804,30684,171,2020-07-02
North America,US,New York,2020-07-03,378730,5760,2115,56809,30688,161,2020-07-03
North America,US,New York,2020-07-04,378763,5449,2024,56814,30691,151,2020-07-04
North America,US,New York,2020-07-05,378793,5155,1936,56819,30694,142,2020-07-05
North America,US,New York,2020-07-06,378820,4876,1853,56823,30697,133,2020-07-06
North America,US,New York,2020-07-07,378844,4611,1772,56827,30700,125,2020-07-07
North America,US,New York,2020-07-08,378867,4361,1695,56830,30702,118,2020-07-08
North America,US,New York,2020-07-09,378888,4124,1621,56833,30704,110,2020-07-09
North America,US,New York,2020-07-10,378906,3900,1551,56836,30706,104,2020-07-10
North America,US,New York,2020-07-11,378923,3687,1483,56838,30708,97,2020-07-11
North America,US,New York,2020-07-12,378938,3486,1418,56841,30710,91,2020-07-12
North America,US,New York,2020-07-13,378952,3296,1356,56843,30711,86,2020-07-13
North America,US,New York,2020-07-14,378965,3116,1296,56845,30713,80,2020-07-14
North America,US,New York,2020-07-15,378977,2946,1239,56846,30714,75,2020-07-15
North America,US,New York,2020-07-16,378987,2785,1185,56848,30715,71,2020-07-16
North America,US,New York,2020-07-17,378996,2632,1132,56849,30716,66,2020-07-17
North America,US,New York,2020-07-18,379005,2488,1082,56851,30717,62,2020-07-18
North America,US,New York,2020-07-19,379013,2352,1035,56852,30718,58,2020-07-19
North America,US,New York,2020-07-20,379020,2223,989,56853,30719,54,2020-07-20
North America,US,New York,2020-07-21,379026,2102,945,56854,30719,51,2020-07-21
North America,US,New York,2020-07-22,379032,1987,903,56855,30720,48,2020-07-22
North America,US,New York,2020-07-23,379037,1878,863,56856,30720,45,2020-07-23
North America,US,New York,2020-07-24,379042,1775,825,56856,30721,42,2020-07-24
North America,US,New York,2020-07-25,379046,1678,788,56857,30721,39,2020-07-25
North America,US,New York,2020-07-26,379050,1586,753,56858,30722,37,2020-07-26
North America,US,New York,2020-07-27,379054,1500,719,56858,30722,34,2020-07-27
North America,US,New York,2020-07-28,379057,1418,687,56859,30723,32,2020-07-28
North America,US,New York,2020-07-29,379060,1340,657,56859,30723,30,2020-07-29
North America,US,New York,2020-07-30,379062,1267,627,56859,30723,28,2020-07-30
North America,US,New York,2020-07-31,379065,1198,599,56860,30723,26,2020-07-31
North America,US,New York,2020-08-01,379067,1133,573,56860,30724,25,2020-08-01
North America,US,New York,2020-08-02,379069,1071,547,56860,30724,23,2020-08-02
North America,US,New York,2020-08-03,379071,1013,522,56861,30724,22,2020-08-03
North America,US,New York,2020-08-04,379072,958,499,56861,30724,20,2020-08-04
North America,US,New York,2020-08-05,379074,906,477,56861,30724,19,2020-08-05
North America,US,New York,2020-08-06,379075,857,455,56861,30724,18,2020-08-06
North America,US,New York,2020-08-07,379076,810,435,56861,30725,17,2020-08-07
North America,US,New York,2020-08-08,379077,766,415,56862,30725,15,2020-08-08
North America,US,New York,2020-08-09,379078,725,397,56862,30725,14,2020-08-09
North America,US,New York,2020-08-10,379079,686,379,56862,30725,14,2020-08-10
North America,US,New York,2020-08-11,379080,649,362,56862,30725,13,2020-08-11
North America,US,New York,2020-08-12,379080,614,346,56862,30725,12,2020-08-12
North America,US,New York,2020-08-13,379081,581,330,56862,30725,11,2020-08-13
North America,US,New York,2020-08-14,379081,550,315,56862,30725,10,2020-08-14
North America,US,New York,2020-08-15,379082,520,301,56862,30725,10,2020-08-15
